seed,experiment,removed_type,removed_name,kept_features,feature_count,acc,prec,rec,f1,auc,tp,tn,fp,fn,threshold,threshold_source,delta_f1,delta_auc
42,full,none,none,"qlen,wcount,sq,dq,puncts,comments,spaces,logic,arith,alpha,sqlkw,sqlfunc",12,0.9998342175066313,1.0,0.9995393827729157,0.9997696383321816,0.9999986877002078,2170,3861,0,1,0.18,artifact,0.0,0.0
42,keep_group_structure,keep_group,structure,"qlen,wcount,spaces,alpha",4,0.9953580901856764,0.9912883998165979,0.9958544449562413,0.9935661764705882,0.9995780359667968,2162,3842,19,9,0.18,artifact,0.006203461861593373,0.0004206517334109927
42,keep_group_obfuscation,keep_group,obfuscation,"sq,dq,puncts,comments,arith",5,0.98342175066313,0.9774089442139234,0.976508521418701,0.9769585253456221,0.9976174004271655,2120,3812,49,51,0.18,artifact,0.022811112986559468,0.0023812872730423207
42,keep_group_semantic,keep_group,semantic,"logic,sqlkw,sqlfunc",3,0.9963527851458885,0.9958467928011075,0.9940119760479041,0.9949285384970032,0.9969973984253119,2158,3852,9,13,0.18,artifact,0.004841099835178331,0.0030012892748959574
43,full,none,none,"qlen,wcount,sq,dq,puncts,comments,spaces,logic,arith,alpha,sqlkw,sqlfunc",12,0.9998342175066313,1.0,0.9995393827729157,0.9997696383321816,0.9998838018183942,2170,3861,0,1,0.18,artifact,0.0,0.0
43,keep_group_structure,keep_group,structure,"qlen,wcount,spaces,alpha",4,0.9953580901856764,0.9917393299678752,0.9953938277291571,0.9935632183908046,0.9997259679433792,2161,3843,18,10,0.18,artifact,0.006206419941376939,0.000157833875015001
43,keep_group_obfuscation,keep_group,obfuscation,"sq,dq,puncts,comments,arith",5,0.98342175066313,0.9774089442139234,0.976508521418701,0.9769585253456221,0.9975717085343986,2120,3812,49,51,0.18,artifact,0.022811112986559468,0.00231209328399562
43,keep_group_semantic,keep_group,semantic,"logic,sqlkw,sqlfunc",3,0.9963527851458885,0.9958467928011075,0.9940119760479041,0.9949285384970032,0.9969973984253119,2158,3852,9,13,0.18,artifact,0.004841099835178331,0.0028864033930823263
44,full,none,none,"qlen,wcount,sq,dq,puncts,comments,spaces,logic,arith,alpha,sqlkw,sqlfunc",12,0.9991710875331565,0.9990783410138249,0.9986181483187471,0.9988481916609077,0.9999982105002833,2168,3859,2,3,0.18,artifact,0.0,0.0
44,keep_group_structure,keep_group,structure,"qlen,wcount,spaces,alpha",4,0.9948607427055703,0.9908256880733946,0.9949332105020727,0.9928752011031947,0.9996325560581665,2160,3841,20,11,0.18,artifact,0.005972990557712943,0.00036565444211678066
44,keep_group_obfuscation,keep_group,obfuscation,"sq,dq,puncts,comments,arith",5,0.9824270557029178,0.9738412115649381,0.9774297558728696,0.975632183908046,0.9975822069327367,2122,3804,57,49,0.18,artifact,0.0232160077528617,0.002416003567546565
44,keep_group_semantic,keep_group,semantic,"logic,sqlkw,sqlfunc",3,0.9973474801061007,1.0,0.9926301243666513,0.996301433194637,0.9969973984253119,2155,3861,0,16,0.18,artifact,0.0025467584662706155,0.003000812074971382
45,full,none,none,"qlen,wcount,sq,dq,puncts,comments,spaces,logic,arith,alpha,sqlkw,sqlfunc",12,0.9998342175066313,1.0,0.9995393827729157,0.9997696383321816,0.9999597959063644,2170,3861,0,1,0.18,artifact,0.0,0.0
45,keep_group_structure,keep_group,structure,"qlen,wcount,spaces,alpha",4,0.9958554376657824,0.9922018348623853,0.9963150621833257,0.9942541944380602,0.9996623214034545,2163,3844,17,8,0.18,artifact,0.005515443894121397,0.0002974745029099557
45,keep_group_obfuscation,keep_group,obfuscation,"sq,dq,puncts,comments,arith",5,0.9829244031830239,0.9760589318600368,0.976508521418701,0.9762836748791158,0.9975696804347196,2120,3809,52,51,0.18,artifact,0.02348596345306575,0.0023901154716448048
45,keep_group_semantic,keep_group,semantic,"logic,sqlkw,sqlfunc",3,0.9963527851458885,0.9958467928011075,0.9940119760479041,0.9949285384970032,0.9969973984253119,2158,3852,9,13,0.18,artifact,0.004841099835178331,0.0029623974810525366
46,full,none,none,"qlen,wcount,sq,dq,puncts,comments,spaces,logic,arith,alpha,sqlkw,sqlfunc",12,0.9998342175066313,1.0,0.9995393827729157,0.9997696383321816,0.9999287779112744,2170,3861,0,1,0.18,artifact,0.0,0.0
46,keep_group_structure,keep_group,structure,"qlen,wcount,spaces,alpha",4,0.9948607427055703,0.9903758020164987,0.9953938277291571,0.992878474615208,0.9996221769598095,2161,3840,21,10,0.18,artifact,0.006891163716973625,0.0003066009514649526
46,keep_group_obfuscation,keep_group,obfuscation,"sq,dq,puncts,comments,arith",5,0.9832559681697612,0.9769585253456221,0.976508521418701,0.9767334715503341,0.9976451973227654,2120,3811,50,51,0.18,artifact,0.0230361667818475,0.002283580588509082
46,keep_group_semantic,keep_group,semantic,"logic,sqlkw,sqlfunc",3,0.9963527851458885,0.9958467928011075,0.9940119760479041,0.9949285384970032,0.9969973984253119,2158,3852,9,13,0.18,artifact,0.004841099835178331,0.0029313794859625597
